Id,SalePrice
1461,220763.41293680854
1462,121015.72477134586
1463,213566.74974073403
1464,209427.50760943053
1465,159153.91996933933
1466,199858.71020298084
1467,194319.70418767104
1468,207118.387024295
1469,138664.61720431226
1470,161245.28476363872
1471,181502.32377965783
1472,143230.4862448863
1473,158683.9662037907
1474,242349.08251330483
1475,209833.46639300982
1476,197252.86899313534
1477,183130.04771304195
1478,151955.46070084212
1479,186284.3430053774
1480,144399.99794535481
1481,169847.65192075848
1482,160155.2989278736
1483,192914.36091111123
1484,133474.88318382873
1485,221241.69090683616
1486,212652.0287343334
1487,218390.68815111078
1488,154968.28292091328
1489,169592.0422354965
1490,179003.51056953377
1491,172846.97994372755
1492,182450.0988041273
1493,125573.06532558045
1494,221178.99568489476
1495,177256.41077075983
1496,181137.42957140016
1497,167434.09074936947
1498,145835.265032452
1499,180944.69102311053
1500,182580.5433424129
1501,155105.57590663727
1502,199280.74732637405
1503,281292.1302457848
1504,228514.22931303963
1505,182125.80045623408
1506,174169.43747173503
1507,185600.92301781953
1508,227436.40348949275
1509,167622.78875069035
1510,160119.24685411868
1511,135107.77574225038
1512,162465.9786690197
1513,189789.38867851204
1514,230023.56768538983
1515,156643.4380397923
1516,157466.23339735798
1517,173030.29724950274
1518,214912.00979693278
1519,174041.3647519299
1520,172779.12870889588
1521,174372.22899631102
1522,134465.396318466
1523,157644.03237872137
1524,161393.46916039582
1525,151074.74189976847
1526,143855.11802442273
1527,165065.7286861823
1528,154175.1055725215
1529,184962.70510512675
1530,113240.85864512585
1531,131531.53971477004
1532,128282.97971191851
1533,154269.32841059798
1534,155792.44875999627
1535,178764.02554048196
1536,139502.79764192423
1537,140867.06609020202
1538,186396.50615850234
1539,166887.27180791783
1540,174243.52151324137
1541,152690.34124828337
1542,241758.68556731654
1543,156358.61793279168
1544,200669.86832718112
1545,164965.22738360387
1546,202776.2567809752
1547,218492.50818327718
1548,164603.5776599705
1549,174904.8643966354
1550,193997.73306583305
1551,136575.3666833455
1552,159174.6298583492
1553,162280.06144664268
1554,206397.40974843327
1555,242484.95529184424
1556,nan
1557,100480.17253440886
1558,156803.547429538
1559,163352.62455548972
1560,160655.96738009033
1561,159732.90455616696
1562,141581.69097080748
1563,140839.71219409548
1564,188357.9105447604
1565,165000.29135005543
1566,175025.13167106986
1567,163719.6111502394
1568,225614.61520960153
1569,190902.50706572423
1570,161718.89641686098
1571,140947.28383278023
1572,156079.44754026324
1573,185571.30488132418
1574,161677.14568346407
1575,139793.78394083428
1576,244171.91515299774
1577,158336.25225195766
1578,193264.71143079613
1579,160665.83266973743
1580,215581.2366976933
1581,207671.6896923117
1582,143732.21714875737
1583,177461.05537087654
1584,194256.58865579776
1585,129680.03406152228
1586,174587.3550061444
1587,186569.11655800458
1588,184307.511396425
1589,146929.1685482181
1590,176204.58791573727
1591,129152.65659353354
1592,120644.1524847433
1593,128233.35282021007
1594,238652.19715396213
1595,191428.52486484803
1596,173843.09611339873
1597,193375.57018898247
1598,208818.51052229264
1599,181936.78213633224
1600,192530.49633439284
1601,109430.18606212814
1602,129513.45548152478
1603,70286.5464444656
1604,164576.33961412543
1605,181571.47825145244
1606,206375.25018249545
1607,204763.9396927004
1608,180034.44492225564
1609,152425.89787777106
1610,172677.29586797272
1611,112494.8214668862
1612,155665.51329361743
1613,156134.09529132294
1614,178520.06183774618
1615,186120.5442925255
1616,154223.64556550555
1617,159233.76641585657
1618,155247.00043186697
1619,151049.05729310785
1620,188869.41077143018
1621,151803.11228368283
1622,184471.64495255554
1623,181250.66648792033
1624,189455.92858643274
1625,175337.8722247821
1626,174745.67563663443
1627,216591.9075585478
1628,223406.72805773033
1629,169875.76258482173
1630,188450.96118262506
1631,210829.54194181683
1632,186950.59410813884
1633,222808.78072632468
1634,179439.6531358039
1635,200895.63060867088
1636,141113.44567158376
1637,159079.7432202023
1638,248778.8643072471
1639,152405.5349094378
1640,218204.09226198812
1641,141585.05383748945
1642,198649.4164922081
1643,242511.35265326855
1644,195423.7966042433
